種目,日付,ポイント,挑戦個数,成功個数,タイム,分析記憶,実行
MBLD,2020/04/13,15,17,16,55:08,35:50,19:18
MBLD (FU/UFR),2021/01/17,9,11,10,53:59,36:17,17:42
単発National Rank,2019/04/27,,,,12,,
単発Continental Rank,2019/04/27,,,,85,,
単発World Rank,2019/04/27,,,,295,,
MBLD 05個,2020/09/11,05,05,05,09:43,06:16,03:27
MBLD 09個,2020/09/12,09,09,09,22:31,15:16,07:15
MBLD 13個,2020/03/05,13,13,13,57:49,42:00,15:49
MBLD 17個,2020/04/13,15,17,16,55:08,35:50,19:18
MBLD 21個,2020/02/09,21,21,21,2:27:54,1:49:07,0:38:47
MBLD 25個,,,,,,,
MBLD 29個,,,,,,,
MBLD 33個,2021/02/13,23,28,33,4:07:29,3:15:33,0:51:55
